original_story,reordered_story,reason
"Andy was feeling very nervous | He had a blind date at a restaurant | He sat down and waited for the date to show up | She said she would be wearing a black dress | When she came through the door, Andy was impressed with her beauty",2|1|4|3|5,not a permutation of any gold story
Henry was on his way to eat at his favorite restaurant | His mom had invited his little cousin along with them | Henry was not pleased with his cousin tagging along | His cousin ran wildly through the restaurant knocking things over | An embarrassed Henry made his mother to promise to never bring along his little cousin again,Henry was on his way to eat at his favorite restaurant | His mom had invited his little cousin along with them | Henry was not pleased with his cousin tagging along | His cousin ran wildly through the restaurant knocking things over | An embarrassed Henry made his mother to never bring along his little cousin again,not a permutation of any gold story
Jamie parked her car in an illegal spot | She returned to find a cop writing her a ticket | she tried to convince him to stop | He told her it was too late | She drove off angrily,Jamie parked her car in an illegal spot | She tried to convince him to stop | He told her it was too late | She drove off angrily | She returned to find a cop writing her a ticket,not a permutation of any gold story
Justins dog need a bath | He had rolled in mud puddles after the rain and was a mess | It would be a big challenge to clean him because he hates baths | With a little determination Justin managed to get the job done | An hour later the cycle continued,Justin's dog needs a bath | He had rolled in mud puddles after the rain and was a mess | It would be a big challenge to clean him because he hates baths | With a little determination Justin managed to get the job done | An hour later the cycle continued,not a permutation of any gold story
We brought our cat home to our new house | A neighbor cat started showing up on our porch to see her | My cat hates other cats | I hissed at the neighbor cat to go away | Now he comes to our house to yell and his at us,We brought our cat home to our new house | My cat hates other cats | A neighbor cat started showing up on our porch to see her | I hissed at the neighbor cat to go away | Now he comes to our house to yell and hiss at us,not a permutation of any gold story
My mom's birthday was coming up | I needed to get her a present | I recalled that she liked to cook | i bought her a cookbook | She loved the cookbook!,My mom's birthday was coming up | I needed to get her a present | I recalled that she liked to cook | I bought her a cookbook | She loved the cookbook!,not a permutation of any gold story
Bob went to the doctor | The doctor said bob was lacking in iron | The doctor said he needed iron supplements | Bob bought iron supplements | Bob's iron levels were soon up to normal levels,Bob went to the doctor | The doctor said Bob was lacking in iron | The doctor said he needed iron supplements | Bob bought iron supplements | Bob's iron levels were soon up to normal levels,not a permutation of any gold story
"Before the night ended, I had one more pizza delivery to make | I drove to the house of the person that ordered the food | When I was walking towards the front door, I tripped | Luckily, my but landed on the ground before my face | However, the pizza was ruined and I had to get a new one","I drove to the house of the person that ordered the food | When I was walking towards the front door, I tripped | Luckily, my butt landed on the ground before my face | However, the pizza was ruined and I had to get a new one | Before the night ended, I had one more pizza delivery to make",not a permutation of any gold story
"Sam walked into the kitchen | He noticed a toy figure on the counter | As soon as he touched it, all of the parts fell | His brother was extremely mad at me since it was for a project | At this moment, peter wasn't concerned about the figure anymore","Sam walked into the kitchen|He noticed a toy figure on the counter|As soon as he touched it, all of the parts fell|At this moment, Peter wasn't concerned about the figure anymore|His brother was extremely mad at me since it was for a project",not a permutation of any gold story
Maggie had been taken back to the pound by her previous owner | She is not a friendly cat | One day a man walked into the pound | It was love at first site | The man took her home and gave her a place to live,She is not a friendly cat | Maggie had been taken back to the pound by her previous owner | One day a man walked into the pound | It was love at first sight | The man took her home and gave her a place to live,not a permutation of any gold story
The blacksmith took the glowing metal out of the fire | He held it with his pliers and placed it on the anvil | The hammer blows rang through his shop | The metal took the form he wanted | He plunged the form I you a bucket of water with a satisfying hiss,The blacksmith took the glowing metal out of the fire | He held it with his pliers and placed it on the anvil | The hammer blows rang through his shop | He plunged the form into a bucket of water with a satisfying hiss | The metal took the form he wanted,not a permutation of any gold story
"My mom reminded me to take out the trash tonight | Since I was studying late at night, I forgot | The next day, the garbage truck rode across the neighborhood | It passed my house since the trash cans were not out | My mom was mad when I told her that I forgot",5 | 1 | 4 | 3 | 2,not a permutation of any gold story
Ike went to a concert so his friends would think he's cool | He bought the t-shirt of the band and wore to to the concert | Everyone thought he was a big fan of the band and talked to him | Ike never heard the band before and just pretended to | After the concert he decided that maybe he will be a real fan,Ike never heard the band before and just pretended|Ike went to a concert so his friends would think he's cool|He bought the t-shirt of the band and wore to to the concert|Everyone thought he was a big fan of the band and talked to him|After the concert he decided that maybe he will be a real fan,not a permutation of any gold story
"I let the dog out this morning | I told her to go use the bathroom | Instead, she went and laid in the grass | I couldn't find her for a while | I got scared when I say her lying there","I let the dog out this morning | I told her to go use the bathroom | Instead, she went and laid in the grass | I couldn't find her for a while | I got scared when I saw her lying there",not a permutation of any gold story
The man set his alarm | He had an appointment the next morning | He slept through the appointment | He checked the alarm | The sound had been to low to wake him up,The man set his alarm | He checked the alarm | He had an appointment the next morning | He slept through the appointment | The sound had been too low to wake him up,not a permutation of any gold story
Amy couldn't swim | She took a swim class at her Gym | It was weeks of practice | Amy and her husband went on vacation to Jamaica | Amy surprised her husband by showing she now could swim,2|1|4|3|5,not a permutation of any gold story
"My husband recently joined a bbq competition | He makes the best BBQ ribs in the world | His sauce was really special, and it wowed the judges | They offered him second place in the competition, and he was proud | He is now considering starting his own BBQ business",2|5|1|3|4,not a permutation of any gold story
The bush grew too big | The man hired a gardener | The gardener cut the bush down | He left the the debris there | The man hauled it himself,The bush grew too big | The man hired a gardener | The gardener cut the bush down | The man hauled it himself | He left the debris there,not a permutation of any gold story
"Stacey was about to try steak for the first time | Since Stacey was Hindu, it was against her religion to eat beef | Thankfully she was given a pass | The beef tasted amazing | It was the best she ever tasted","Since Stacey was Hindu, it was against her religion to eat beef | Stacey was about to try steak for the first time | Fortunately she was given a pass | The beef tasted amazing | It was the best she ever tasted",not a permutation of any gold story
It was hot and David wanted a treat | He heard Turkey in the Straw playing | There was an icecream truck | David bought a chocolate cone | The double scoops melted quickly and fell onto the pavement,3|5|2|4|1,not a permutation of any gold story
"Alex and reza had been dating for two years | They were planning to get married on their fifth year | But after a year, reza got pregnant | So they decided to get married earlier of what they've planned | Even its earlier, their wedding was still unforgettable and special","Alex and Reza had been dating for two years | They were planning to get married on their fifth year | But after a year, Reza got pregnant | So they decided to get married earlier of what they've planned | Even its earlier, their wedding was still unforgettable and special",not a permutation of any gold story
Richard went to visit his buddy bobby who lived in california | Bobby lived on the San Francisco Bay on a sailboat | Richard had never been on a sailboat before but was very excited | Richard and Bobby spend five days out on the Bay on the boat | Richard had never felt so free in his entire life,Bobby lived on the San Francisco Bay on a sailboat | Richard went to visit his buddy Bobby who lived in California | Richard had never been on a sailboat before but was very excited | Richard and Bobby spend five days out on the Bay on the boat | Richard had never felt so free in his entire life,not a permutation of any gold story
"Ernie had a voice, but couldn't sing | He went to the karaoke bar just the same | One evening he met Bernice, and bought her a drink | Ernie proposed to her at the same bar, a year later | They got married, and lived happily together, until their divorce",3|4|5|2|1,not a permutation of any gold story
Jim bought a new car radio | He had it for only a week | ONe night he heard someone breaking into his car | They stole his new stereo | Jim was never able to get it back,Jim bought a new car radio | He had it for only a week | One night he heard someone breaking into his car | They stole his new stereo | Jim was never able to get it back,not a permutation of any gold story
I filled up the bird feeder in the yard | Many birds flew toward it to get some seeds | I noticed a beautiful blue jay | It quickly flew over to the feeder | Then back to it's nest with it's mouth full of food,I filled up the bird feeder in the yard | Many birds flew toward it to get some seeds | I noticed a beautiful blue jay | It quickly flew over to the feeder | Then back to its nest with its mouth full of food,not a permutation of any gold story
Dan's friend sent him a funny clip of a comedy sketch | The clip featured Tom Hanks as a Trump supporter on Black Jeopardy | Dan though the sketch was hilarious and laughed at it | He sent his friend back a Trump fan espousing how good it was | Dan's friend didn't seem to appreciate that quite as much,Dan's friend sent him a funny clip of a comedy sketch | The clip featured Tom Hanks as a Trump supporter on Black Jeopardy | Dan thought the sketch was hilarious and laughed at it | He sent his friend back a Trump fan espousing how good it was | Dan's friend didn't seem to appreciate that quite as much,not a permutation of any gold story
"Erin and her sister were born several years apart | Mary was just the baby, to grown up Erin | They were always fighting and arguing with one another | As they got older they started to enjoy each other's company | Now they are adults that have become as close as two people can be","Erin and her sister were born several years apart|Mary was just the baby, to grown-up Erin|They were always fighting and arguing with one another|As they got older they started to enjoy each other's company|Now they are adults that have become as close as two people can be",not a permutation of any gold story
Carole called her daughter | Her daughter sounded troubled | Carole drove to her daughters house | Her daughter was crying | Carole comforted her daughter,Carole called her daughter | Her daughter sounded troubled | Carole drove to her daughter's house | Her daughter was crying | Carole comforted her daughter,not a permutation of any gold story
Fred is driving down the road | His car starts to make a noise | He pulls over to check it out | Its his engine up in smoke | He calls a tow truck for help,Fred is driving down the road | His car starts to make a noise | He pulls over to check it out | It's his engine up in smoke | He calls a tow truck for help,not a permutation of any gold story
Tim was in a computer lab | He stood up to use the restroom | When he returned someone took his spot | Tim tried to tell him the problem but he wasn't heard | The kid who took his chair was deaf,Tim was in a computer lab | He stood up to use the restroom | When he returned someone took his spot | The kid who took his spot was deaf | Tim tried to tell him the problem but he wasn't heard,not a permutation of any gold story
"I went to the store to buy milk | I walked through the store and put many items in the cart | I went to the register, checked out, and drove home | When i went to put my items away, I realized I had forgotten the milk | I was frustrated during my drive back to the store","I went to the store to buy milk | I walked through the store and put many items in the cart | I went to the register, checked out, and drove home | When I went to put my items away, I realized I had forgotten the milk | I was frustrated during my drive back to the store",not a permutation of any gold story
"Nate approached the court | The judged asked him to honestly answer several questions | The defense attorney began to interrogate Nate | He kept a serious tone when speaking | Afterwards, the judge dismissed him","Nate approached the court | The defense attorney began to interrogate Nate | The judge asked him to honestly answer several questions | He kept a serious tone when speaking | Afterwards, the judge dismissed him",not a permutation of any gold story
"The kids liked helping with the grocery shopping | They would add all sorts of things to their mom's list | One day, they added ice cream and candy and chocolate | THey were disappointed when their mom came home from the store | She hadn't bought any of the junk food!","The kids liked helping with the grocery shopping | They would add all sorts of things to their mom's list | One day, they added ice cream and candy and chocolate | They were disappointed when their mom came home from the store | She hadn't bought any of the junk food!",not a permutation of any gold story
"Marsha was having a Halloween party at her house | She invited everyone except sandy | When Sandy found out she wasn't invited, she was upset | She asked Marsha about it | Marsha felt badly and ended up inviting her","Marsha was having a Halloween party at her house | She invited everyone except Sandy | When Sandy found out she wasn't invited, she was upset | She asked Marsha about it | Marsha felt badly and ended up inviting her",not a permutation of any gold story
Laurence grabbed an apple from the refrigerator | He bit into it and then spit it back out | The apple was rotten | Laurence looked in the fridge and realized everything was expired | Laurence decided to clean out his refrigerator more often,Laurence looked in the fridge and realized everything was expired | Laurence grabbed an apple from the refrigerator | The apple was rotten | He bit into it and then spat it back out | Laurence decided to clean out his refrigerator more often,not a permutation of any gold story
"Sarah was on the cheerleading team | She had to learn how to do backflips to get on the team | She practiced for days and days | Eventually she managed to do a couple of back flips | That's how she made the cheerleading team,",5 | 2 | 3 | 4 | 1,not a permutation of any gold story
Jessica had a tough life | She grew up without a mom and was responsible for her brothers | She never felt sorry for herself but knew she wanted a better life | Jessica started an organization for low income kids | She knew she wanted to help kids better themselves so she did,2 | 3 | 1 | 5 | 4,not a permutation of any gold story
Billy's best friend was Lou | Lou had gotten into an accident | Lou was in the hospital recovering | Billy visited Lou in the hospital | Lou smiled when he saw his friend,2 | 5 | 1 | 4 | 3,not a permutation of any gold story
Jay and his girlfriend drank | They got too drunk | His girlfriends mother saw them | She called the cops | The cops knew everything was fine and left,Jay and his girlfriend drank | They got too drunk | His girlfriend's mother saw them | She called the cops | The cops knew everything was fine and left,not a permutation of any gold story
"Jessica woke up and looked out her window | All she could she was a wonderful blanket of white snow | She got up, got dressed, and ran outside | Jessica had so much fun sledding and making snow angels | She can't wait to get up and do it again tomorrow","Jessica woke up and looked out her window | All she could see was a wonderful blanket of white snow | She got up, got dressed, and ran outside | Jessica had so much fun sledding and making snow angels | She can't wait to get up and do it again tomorrow",not a permutation of any gold story
It's was Dan's first day on the job | He had wanted to be a cop his entire life | His second call was an armed suspect running from the police | They were close and decided to pursue the criminal | Eventually Dan caught up to him and arrested him,He had wanted to be a cop his entire life | It was Dan's first day on the job | His second call was an armed suspect running from the police | They were close and decided to pursue the criminal | Eventually Dan caught up to him and arrested him,not a permutation of any gold story
"Jamie was nervous about her upcoming oboe recital | She was new to music | She'd only been practicing for a couple of months | She worked extra hard to get read | When she finished, the audience stood and clapped","She was new to music | She'd only been practicing for a couple of months | She worked extra hard to get ready | Jamie was nervous about her upcoming oboe recital | When she finished, the audience stood and clapped",not a permutation of any gold story
Sonya was ready for her first day at her new job | She was very nervous | Sonya dressed in her best outfit and headed out | The day was great | Sonya new she would love her new job,Sonya knew she would love her new job | Sonya was ready for her first day at her new job | She was very nervous | Sonya dressed in her best outfit and headed out | The day was great,not a permutation of any gold story
I was driving around a neighborhood | I saw my friend outside his house | He had a large hose | Water was coming out if it | He was draining his pool,I was driving around a neighborhood | I saw my friend outside his house | He was draining his pool | He had a large hose | Water was coming out of it,not a permutation of any gold story
"After I moved from Florida to Alabama, my mom got me a lizard | I decided to name my gecko Rhaegar, he was blue and orange in color | We went to the pet store with Rhaegar in a box so we could buy a tank | He ended up needed a dessert type tank, and a very large one at that | According to the sales associate he would grow to be a foot long","After I moved from Florida to Alabama, my mom got me a lizard|I decided to name my gecko Rhaegar, he was blue and orange in color|We went to the pet store with Rhaegar in a box so we could buy a tank|According to the sales associate he would grow to be a foot long|He ended up needing a dessert type tank, and a very large one at that",not a permutation of any gold story
Jimmy was a guest of honor at a banquet | He was the mayor of the city of Lamour | His nemesis Christian got up to give a speech | He started playing a video instead | It was a video of an affair Jimmy had with a woman not his wife,|He was the mayor of the city of Lamour|Jimmy was a guest of honor at a banquet|His nemesis Christian got up to give a speech|He started playing a video instead|It was a video of an affair Jimmy had with a woman not his wife|,wrong sentence count
Tom liked working on his car | He fixed it up to go faster | He took it to his local track | Tom had fun doing several races | He won and lost and wanted to keep going,4 | 3 | 1 | 5 | 2,not a permutation of any gold story
Kay met Chad online | Kay and chad grew close | Kay decided to move across the country to live with Chad | Kay rented a Uhaul and drove across the country | Kay now happily lives with Chad,Kay met Chad online | Kay and Chad grew close | Kay decided to move across the country to live with Chad | Kay rented a Uhaul and drove across the country | Kay now happily lives with Chad,not a permutation of any gold story
A burglar broke into Jeff's house | He stole his jewelry and several other personal items | Jeff called the cops and tried to stop the thief | The thief ended up escaping from the house | The cops showed up 5 minutes later\,A burglar broke into Jeff's house | He stole his jewelry and several other personal items | Jeff called the cops and tried to stop the thief | The cops showed up 5 minutes later | The thief ended up escaping from the house,not a permutation of any gold story
Maddie was at school | Her eye started to itch | She went to the bathroom to look at it | It was completely red | Her teacher sent her home with pinkeye,Maddie was at school | Her eye started to itch | She went to the bathroom to look at it | It was completely red | Her teacher sent her home with pinkeye |,wrong sentence count
"Steve wants to be able to dead life five hundred pounds at the gym | He currently can only deadliest about two hundred pounds | He set himself up with a year long plan to reach his goal | He worked hard and ate healthy for a year, making steady progress | A year later Steve was able to deadlift his goal weight!","Steve wants to be able to deadlift five hundred pounds at the gym | He currently can only deadlift about two hundred pounds | He set himself up with a year long plan to reach his goal | He worked hard and ate healthy for a year, making steady progress | A year later Steve was able to deadlift his goal weight!",not a permutation of any gold story
"At a house party, Joe was having a conversation with the host | The host and Joe disagreed on a political matter | Joe was getting annoyed but did not show it | The host had no idea that he was getting on Joe's nerves | Joe later got revenge on the hose by secretly knotting all his shoes","At a house party, Joe was having a conversation with the host | The host and Joe disagreed on a political matter | Joe was getting annoyed but did not show it | The host had no idea that he was getting on Joe's nerves | Joe later got revenge on the host by secretly knotting all his shoes",not a permutation of any gold story
The choir wanted to raise money for their trip | They decided to have a dog wash | They scrubbed people's' dogs until they were sparkling clean | It was a fun but messy job | They raised lots of money!,The choir wanted to raise money for their trip | They decided to have a dog wash | They scrubbed people's dogs until they were sparkling clean | It was a fun but messy job | They raised lots of money!,not a permutation of any gold story
Joe lays bricks for a living | He worked harder than all of his coworkers | Eventually joe got a promotion as a supervisor | Joe enjoyed the greatly increased pay for many years | Eventually he was able to retire comfortably,Joe lays bricks for a living | He worked harder than all of his coworkers | Eventually Joe got a promotion as a supervisor | Joe enjoyed the greatly increased pay for many years | Eventually he was able to retire comfortably,not a permutation of any gold story
Jim found a dog in a barn | The barn had tons of fur | It could barely walk | He rescued the dog from it's owners | He gave it a bath and a shave,Jim found a dog in a barn | The barn had tons of fur | It could barely walk | He rescued the dog from its owners | He gave it a bath and a shave,not a permutation of any gold story
"Rob ran cross country in college | After graduation he ran with his friends from work | One day the decided to try doing a triathlon | They enjoyed it so much that they did several more | In their third race, Rob won the state championship for his age group","Rob ran cross country in college | After graduation he ran with his friends from work | One day they decided to try doing a triathlon | They enjoyed it so much that they did several more | In their third race, Rob won the state championship for his age group",not a permutation of any gold story
The kids were playing freeze tag | Paul kept getting caught | Nobody unfroze him for some reason | He was very upset by this | He cried and left the game,The kids were playing freeze tag | Paul kept getting caught | Nobody unfrozed him for some reason | He was very upset by this | He cried and left the game,not a permutation of any gold story
Usher couldn't remember the melody to a complicated song | He didn't want to seem unprofessional by using lyric sheets | He came up with a clever solution to his problem | User put the music sheets in front of the PA where no one could see | He made it through the complicated song without missing a note,Usher couldn't remember the melody to a complicated song | He didn't want to seem unprofessional by using lyric sheets | He came up with a clever solution to his problem | Usher put the music sheets in front of the PA where no one could see | He made it through the complicated song without missing a note,not a permutation of any gold story
"Kathy was driving down the road | All of a sudden a deer jumped out in front of her | Kathy could not slow down | She hit the deer | Luckily, it did not do a ton of damage to her car","|Kathy was driving down the road|All of a sudden a deer jumped out in front of her|Kathy could not slow down|She hit the deer|Luckily, it did not do a ton of damage to her car|",wrong sentence count
Jeff and his grandpa always went down the river in the canoe | They made several trips every year and it was a great time | Jeff's grandpa pass away and left jeff the canoe to use | Jeff left the canoe in storage for several Years after | Then one day he pulled it out and took his son on it,Jeff and his grandpa always went down the river in the canoe | They made several trips every year and it was a great time | Jeff's grandpa pass away and left Jeff the canoe to use | Jeff left the canoe in storage for several Years after | Then one day he pulled it out and took his son on it,not a permutation of any gold story
"Gina was trying, and failing to fall asleep | She had been in the car for only and hour but it felt longer | She could hear all the noise the kids were making | She could hear the chewing as her sister ate a sandwich | Gina felt trapped and hopeless as the car crept through the traffic","She had been in the car for only an hour but it felt longer | Gina felt trapped and hopeless as the car crept through the traffic | She could hear all the noise the kids were making | She could hear the chewing as her sister ate a sandwich | Gina was trying, and failing to fall asleep",not a permutation of any gold story
Mindy decided to go over jake's house | They both are scared of spiders | Mindy had to go to Jake's bathroom | In there she found an enormous spider on his roof | She panicked and ran screaming out of his house,They both are scared of spiders|Mindy decided to go over Jake's house|Mindy had to go to Jake's bathroom|In there she found an enormous spider on his roof|She panicked and ran screaming out of his house,not a permutation of any gold story
"Chief Hawk a was noble leader | His tribe respected him being wise | He taught them well but had a weakness | Chief Hawk trusted too many, until it was endless | Unfaithful friends brought about Hawk's early ultimate demise","Chief Hawk was a noble leader | His tribe respected him being wise | He taught them well but had a weakness | Chief Hawk trusted too many, until it was endless | Unfaithful friends brought about Hawk's early ultimate demise",not a permutation of any gold story
"Cassidy has joined his college swimming team | He finds out that the other new members are all shaving their heads | Although he doesn't want to shave his head, he does so he can fit in | At first he finds it very cold and strange to have a shaved head | However, he feels very connected with other the new swimmers","Cassidy has joined his college swimming team|He finds out that the other new members are all shaving their heads|Although he doesn't want to shave his head, he does so he can fit in|At first he finds it very cold and strange to have a shaved head|However, he feels very connected with the new swimmers",not a permutation of any gold story
The family loved exploring | They found a cave in a state park that they'd never seen before | THey crawled in and shined their flashlights | They went further and further in | It was the most they'd ever explored a cave!,The family loved exploring | They found a cave in a state park that they'd never seen before | They crawled in and shined their flashlights | They went further and further in | It was the most they'd ever explored a cave!,not a permutation of any gold story
Chet was running late for work | He got to work an hour late | Chet skipped his lunch to make up for the time lost | Chet went home | He set his alarm earlier for the morning,Chet set his alarm earlier for the morning | Chet was running late for work | He got to work an hour late | Chet skipped his lunch to make up for the time lost | Chet went home,not a permutation of any gold story
Hannah took her friend to the Jewelry store | He planned to get his left ear lobe pierced | The worker set up her tools and cleaned his ear | She used a piercing gun to pierce his airs | Hannah's friend felt uncomfortable with the new look,He planned to get his left ear lobe pierced | Hannah took her friend to the Jewelry store | The worker set up her tools and cleaned his ear | She used a piercing gun to pierce his ears | Hannah's friend felt uncomfortable with the new look,not a permutation of any gold story
Tom had a salesman go to his door | He was trying to sell knives | Tom looked up reviews online | They were not very positive | He declined the salesman's offers,Tom was trying to sell knives|Tom had a salesman go to his door|Tom looked up reviews online|They were not very positive|He declined the salesman's offers,not a permutation of any gold story
"Jenn and her Grandma went to bingo one day | They stood in line and bought their papers | They sat down and begin to play | After a couple games of not winning, the started to lose hope | Then they won the last game and went home happy!","Jenn and her Grandma went to bingo one day | They stood in line and bought their papers | They sat down and begin to play | After a couple games of not winning, they started to lose hope | Then they won the last game and went home happy!",not a permutation of any gold story
Billy and jean were playing in the classroom | They stole the teachers eraser and started to throw it around | Elena didn't approve of what they were doing and told the teacher | The teacher told them to stop and gave them detentions | Elena felt nervous since she was the old who told the teacher,Billy and Jean were playing in the classroom | They stole the teachers eraser and started to throw it around | Elena didn't approve of what they were doing and told the teacher | The teacher told them to stop and gave them detentions | Elena felt nervous since she was the old who told the teacher,not a permutation of any gold story
"Terry went into the bookshop | She purchased several books and got out from there | The next day, her family was watching the news | They told her to come | She read that the bookshop collapsed several hours after her purchase","Terry went into the bookshop | She purchased several books and got out from there | They told her to come | She read that the bookshop collapsed several hours after her purchase | The next day, her family was watching the news |",wrong sentence count
Tim kept messing up at work | His boss told him it was his last warning | Tim messed up again | The boss felt bad | He gave Tim one last last warning,Tim kept messing up at work | Tim messed up again | The boss felt bad | His boss told him it was his last warning | He gave Tim one last warning,not a permutation of any gold story
Tom was out playing golf | A lightning storm started to hit | Tom wanted to finish his game | He was hight by lightning | Tom did not survive the hit,Tom wanted to finish his game | Tom was out playing golf | A lightning storm started to hit | He was hit by lightning | Tom did not survive the hit,not a permutation of any gold story
One of my favorite shows just got cancelled | It seems like these days just about every show gets cancelled | I'm not sure how we are ever suppose to get hooked on a series | I wrote a letter the the network venting my frustration | Hopefully they read it and it helps,One of my favorite shows just got cancelled | It seems like these days just about every show gets cancelled | I'm not sure how we are ever suppose to get hooked on a series | I wrote a letter to the network venting my frustration | Hopefully they read it and it helps,not a permutation of any gold story
My roomate wanted me to drive him to the student center | It was half a mile away | He did not want to get his new shoes dirty | He walked to the party | He still had a good time,My roommate wanted me to drive him to the student center|He did not want to get his new shoes dirty|It was half a mile away|He walked to the party|He still had a good time,not a permutation of any gold story
Rachel was very excited for yearbook photo's on Monday | She had really blossomed over the summer and felt great | She just needed to survive two more days without any face damage | On Monday morning when she was walking down the stairs she tripped | She refused to smile in her photo since she was now missing two teeth,1|4|5|2|3,not a permutation of any gold story
Susie was driving to work today | There was a lady hour who had cut her off | Susie got so mad | She started yelling at her | But then she realized it was pointless and just focused on the road,Susie was driving to work today | There was a lady who had cut her off | Susie got so mad | She started yelling at her | But then she realized it was pointless and just focused on the road,not a permutation of any gold story
When mike was little he had a pet chicken | He nurtured it from a chick | He lived on a farm with different animals but that was his favorite | When it got too big the family decided to eat it | Mike was the one that had to kill and prepare it,He lived on a farm with different animals but that was his favorite|When Mike was little he had a pet chicken|He nurtured it from a chick|When it got too big the family decided to eat it|Mike was the one that had to kill and prepare it,not a permutation of any gold story
Susan had a new phone | She was walking in the woods one day | She lost her phone | She got upset | Then she found it later,She had a new phone | She was walking in the woods one day | She lost her phone | She got upset | Then she found it later,not a permutation of any gold story
Charles didn't know how or when he'd pay his student loans | He owed more than thirty thousand dollars | But his jobs usually pay around ten dollars per hour | His new job pays twelve dollars per hour | Charles got his check and a hundred dollars were garnished for loans,|Charles didn't know how or when he'd pay his student loans|But his jobs usually pay around ten dollars per hour|His new job pays twelve dollars per hour|Charles got his check and a hundred dollars were garnished for loans|He owed more than thirty thousand dollars,wrong sentence count
"Tiffany bought a bookshelf from the store | In was in a giant heavy box | She didn't realize she'd have to put it together, though | She followed the instructions as best as she could | The bookshelf turned out really well and she actually had fun","Tiffany bought a bookshelf from the store | It was in a giant heavy box | She didn't realize she'd have to put it together, though | She followed the instructions as best as she could | The bookshelf turned out really well and she actually had fun",not a permutation of any gold story
Deakins was installing a playground at an elementary school | He was told to use wood chips instead of rubber or sand for the floor | He did not have any wood chips in stock | He had to order them from out-of-town | The children went an extra two weeks without a playground due to this,4|2|5|3|1,not a permutation of any gold story
Don parked his camper at a busy campground | Don talked to people passing by about his religion | One family was interested in what he had to say | The family joined Don's religion | Don reported his success to the local parish,|Don parked his camper at a busy campground|Don talked to people passing by about his religion|One family was interested in what he had to say|The family joined Don's religion|Don reported his success to the local parish|,wrong sentence count
Me and Marcy do not agree on anything | So Marcy storms out of the house to go to her friends | I stay at the house and have friends over | Marcy calls me crying to say she is sorry | But i have moved on and am now in a relationship with someone else,Me and Marcy do not agree on anything | So Marcy storms out of the house to go to her friends | I stay at the house and have friends over | Marcy calls me crying to say she is sorry | But I have moved on and am now in a relationship with someone else,not a permutation of any gold story
"Alice was out of food | She needed to get groceries | Alice gathered her baby to go to the store | She realized her husband had taken the car seat with him to work | With annoyance, she waited for her husband to come home",3|5|2|1|4,not a permutation of any gold story
