"original_story","reordered_story"
"Adam got a new job | He was going to transcribe data | He was pushed type fast | He won lots of awards | They promoted Adam","24351"
"Julie decided to run a lemonade stand to earn money for toys | She painted a big sturdy box bright colors for a table | Her mom helped by making a sign | On a hot summer day, they made several pitchers of lemonade | Julie bought a new toy with money she made selling to the neighbors","54132"
"Bob was walking in the park | He got hungry | He decided to forage for food | He found some mushrooms | He ate them and got sick","45213"
"Al was taking a class for college | He needed a certain book for his class | He was talking to his friend about finding the book | His friend told him he already had the book | Al's friend let him borrow the book for class","32451"
"Trudy felt sad so thought she needed a pet | She decided to buy a Puli | She called some Puli owners in town and asked to buy one | The third Puli owner agreed to sell Trudy one of her dogs | So Trudy bought a Puli and is now much happier","12435"
"Max noticed he was always tired so he went to the doctor for help | His doctor asked Max if he slept through the night regularly | Max couldn't remember the last time he had slept through the night | The doctor gave him a small sample of sleeping pills to try | After taking a pill for four nights, Max felt awake during the day","54312"
"Joshua couldn't afford the assigned textbooks | His college textbooks were going to cost over 500 dollars | He knew that a similar amount would be expected in future quarters | Joshua had to decide between stealing them and switching majors | Joshua made the choice that felt right and just","51243"
"Jane loved disney princesses | She always wanted to be young when she was young | For her 21st birthday, he boyfriend took her to Disneyland | She couldn't of picked a better holiday destination | Despite her age, she got pictures with all the princesses","14352"
"Yesterday I got a haircut | I told my stylist I wanted to do something bold this time | I told her to surprise me with something fun | She gave me the most adorable and funky pixie cut | I'm in love with my new look!","54123"
"Our car started making noises when we stopped | I had heard that sound before | It usually meant the brakes had to be serviced | My wife brought the car in | There was only debris that needed to be cleaned out","31452"
"Andrew had a brand new Dodge Challenger car | But now it has a key-scratch along the driver's side | Andrew said a girl from his job calls him a lot for rides to work | His girlfriend complained because he lets another girl in his car | She left for work, scratched his car and texted him, show her that!","34521"
"I ordered my new pajamas | They came in the mail a week later | They were covered in pictures of little animals | I squealed with delight when I saw them | I put them on and wore them all day","32154"
"Two best friends decided to go camping | They hiked way up on a hill and set up their tent | When night fell, they started to hear scary noises | They thought there was a bear outside their tent | When they checked, it was only a tree branch!","15324"
"Tammy was a very proud girl scout | She had worked hard for weeks selling cookies door to door | Now it was time to hear the rankings | She was delighted to hear that she had sold the most | She ended up winning a cute pink radio","12345"
"People shook their heads because Stu wouldn't buy a car | Each day, Stu pedaled a bike ten miles to and from work | While his peers suffered health woes, Stu was as fit as a teen | When Stu retired, many of his buddies were already dead | Stu rode his bike to visit them at the cemetery regularly","43521"
"Tony wanted to cleanse his body | He always ate a lot of junk food | He was gaining a lot of weight | He cut out the junk food and drank nothing but water | After a week, his body was cleansed","51234"
"Sam lived at the bottom of a hill | She found a basketball near her mailbox | The ball had a name written on it in a black marker | She took the ball to that person's house | The ball owner thanked Sam for her help","25341"
"Jacqueline is afraid of earthquakes | She had to move to Chile to work last year | This year there was a big earthquake in the country | Jacqueline was very scared | She decided to quit her job and move away from Chile","12354"
"Anne wanted to feed seagulls | She went down to the lake | There, she crumbled up bread slices | She threw them into the air | Soon tons of gulls were feeding by her!","21435"
"Kate's mom bought a new house | The house was older | It wasn't in good shape | It needed a lot of work | But she was excited about doing the repairs herself","52431"
"Tony loved his dog Snowy more than anything in the world | One day, he forgot to close the front door and his dog ran outside | Toby was devastated and missed his dog terribly | Then he decided to make Lost Dog fliers | While he hung fliers up, a lady saw one and told him she had Snowy!","53412"
"Brad was on a picnic with his family | He had prepared several sandwiches and a pitcher of lemonade | Before they had a chance to eat, a large noise startled them | A bear had crept up behind them and was sniffing at the food | Brad and his family ran away and left the food for the bear","24135"
"Ana invited her friends to her fifteenth birthday party | She was hispanic, and fifteen was a big deal | She had a big party, called a quinceanera | Tons of friends came for cake and socializing | Ana had a great time at her party!","42315"
"Melvin is a dancer | He feels a lot of pressure to be skinny | One day he tried throwing up after eating | It did not make him feel good | Melvin doesn't want to throw up again to be skinny","34521"
"Victoria had too many clothes | She would buy more clothes every time she got paid | She was running out of room to put all of her clothes | She bought hangers to hang them in her closet | Now she has enough room for new clothes","43152"
"Steve's car didn't look like the best, but it was the fastest | After school, Chris sat inside his convertible with his girlfriend | His girlfriend said Steve was looking at her | Chris tried to start a fight but Steve said let's race | Steve beat Chris in a car race and Chris had the newer car","21543"
"Tina wanted to go to the theme park | Problem was it was too expensive | So she ended up going to a discount site | She found tickets half off | Then she was able to go","34512"
"Sue had worked all summer to get ready for the marathon | When the race started Sue bolted off the starting line | She ran 26 miles | As she ran she stopped and got some water | When she crossed the finish line her family was there cheering her on","42315"
"I thought it would be nice to drop in on family last weekend | I drove an hour away to where my aunt lives | When I got there nobody was home | I called to see what was going on | Apparently they had the same idea and were visiting me at home","54123"
"David had only a few friends, but none he could count on | He began adding new people in neighboring towns on social media | Nobody had accepted his requests after 12 hours, and he was sad | He decided to go to bed and ignore his computer for the night | When he awoke, he found that almost all the people had accepted!","14235"
"When Ann met John, he made a poor impression | John barely spoke to her or even look at her | Ann concluded that John was arrogant and rude | John wrote Ann a letter, explaining she made him feel nervous | Ann was surprised to learn that John was actually smitten with her!","15324"
"Ted wasn't very good at dating | He had been looking for a date for a long time | A friend suggested an online dating site | Ted figured he had nothing else to lose | Ted was able to find a nice date on the website","13452"
"Alana was going to start kindergarten | She was very excited but also very nervous | Alana was used to spending all her time around family only | Her first day school went well | Alana loved school and became a very popular student","52413"
"Scott was relentlessly pestering his big brother, Paul | Out of desperation, Paul thought of an idea to entertain Scott | Paul disassembled his Tyrannosaurus rex skeleton model | He hid the many pieces throughout the family's sandbox | Scott was happily occupied for the rest of the day with his digging!","41523"
"Josie couldn't find a date for prom | All her friends were going | Her friends started trying to find her a date | In the end, her friends decided they didn't want dates either | They all went together in a group!","32145"
"Tisha was born and raised in Chicago | She had a great childhood there and wanted the same for her kids | The crime rate began to grow rapidly | Chicago was becoming a dangerous place to raise kids | Tisha moved her family to Indianapolis Indiana for a safer life","52143"
"May was asked to babysit the neighbor's new baby | She agreed to watch the baby | Soon after the parents left the baby began to cry | May tried everything, but the baby just kept crying | She finally fell asleep 20 minutes before the parents returned","41523"
"The same lady came in to clean up John's office every evening | John decided to do something nice for her | John got some flowers and a box of candy | John left them on his desk for her | The next day, John learned that his co-workers ate the candy!","31542"
"Sam is a city boy living in Dallas | He had always wanted to go to the beach but never got the chance | At work they there was a contest for the top performers | Sam was in the top 3 in his department | Sam had won tickets to Boracay","32145"
"Sue drank wine daily, but never felt like she was drunk | Her stomach began to swell and her appetite faded badly | She went to the doctor and was told that she was having liver failure | He recommended a transplant after 6 months of sobriety | She received stem cell treatment in Mexico and her liver was healed","34251"
"Tom was going to high-school for the first time | He decided to reinvent himself | He created a whole new style for himself | All the other students thought he looked goofy | Tom was picked on alot after that","12345"
"Bill loved his Ford mustang more than anything | It was his baby from his college years | Bill was having a baby | He had to save as much money as possible | Bill let go of his baby and sold his Mustang","31452"
"Marge was an all star cook but an even greater baker | She cooked the best red velvet cupcakes and won many competitions | One day she competed for the title of cupcake queen | She placed first place with ease and was crowned the new queen | She remained the queen for as long as she competed never to be beat","53412"
"Jennifer was a little girl | A man pulled up to her house | He offered her candy | Jennifer's brother was with her | He told her to stay away","51432"
"George had gone to the bar | He had drank too many beers | George was barely able to walk | The bartender called George's wife | She came to the bar to pick up George","12345"
"May wanted to be a model | She was very pretty, so she knew she had a chance | She entered competitions as often as she could | Soon she was spotted by a local talent agent | May was recruited to model for a major agency!","25413"
"Sam went to the taco hut for some tacos | When he went there they were out of his favorite hot sauce | He asked if they had any in the back | They said they were all out | Sam decided to get a burrito instead","51342"
"Kevin wanted to be student council president | He spent weeks making flyers and posters | Kevin hung the posters all over school | He was nervous the night before the election | On election day, Kevin won by a landslide","51234"
"Jim wanted to win the marathon | He trained hard for many months | Then came the day of the race and he was ready | He made it halfway and began to tire but he slowed down to recover | After he recovered he was able to finish with a person best time","15243"
"Greg was apologizing to Katherine again | It didn't matter though because she wasn't having it tonight | They were either always very happy or very upset at one another | In order to calm them down, Janet took Katherine home | Dennis spent the rest of the evening cheering Greg up afterwards","23415"
"Marissa was driving down the road late one night | She was getting tired and began rubbing her eyes | Suddenly one of her contacts popped out | She had to quickly pull over because she couldn't see at all | Luckily she was able to replace her contact soon","43251"
"One sunny day the sky suddenly became dark and cloudy | This change in weather caught Kelly by surprise | She ran for cover under trees as the rains came down | She tried to make a makeshift umbrella out of branches | Her umbrella kept her mostly dry as she ran to her car","13452"
"Tony was beyond excited | He was going to go see his favorite band, The Leopards | Tony really loved The Leopards | He got to the show and made his way up to the front | Tony had a great time at the concert that night","15234"
"Katie was writing a paper for her English class | Her paper was the best in the class | Katie's professor entered her paper into a contest | Katie won third place in the writing contest | She won a two hundred dollar prize","52314"
"Tom got into a fight with his friend | His friend told everyone a one sided story | None of Tom's other friends questioned it | Tom was slowly ditched by his friends | Eventually he had nobody to hang out with","52314"
"My sister used to paint a lot back in high school | She had painted one painting that was really good | She had submitted it to a local art gallery | After a few months of waiting, they accepted her piece | It was displayed in the gallery for several months","34215"
"In elementary school the officials sold stationary before class | One day I bought a little pack of erasers for fifty cents | In the pack was a tiny gingerbread man | I loved this eraser the most and always kept it on my desk | Then one day I lost him and that was so so sad","45321"
"Robert woke up this morning feeling very sick | He had no choice but to call into work | His boss was upset and told him to come in on Saturday instead | Robert hung up the phone and laid his head down | He fell asleep while debating to find a new job or not","13524"
"Tom was making bread | But he couldn't wait for the dough to finish rising | So he put it in the oven prematurely | After he took the bread out of the oven he sliced it before it cooled | And Tom was left with dense, doughy bread","41325"
"Tom went on a drive through the desert | Halfway across the desert, Tom's car broke down | Tom had not prepared for any emergency situation | He had no food or water in the hot desert | After a few hours, another driver came by and rescued Tom","24351"
"John was at the bar with friends | He noticed his ex girlfriend walked in | John was mildly upset | She noticed him | They exchanged pleasantries and moved on","14325"
"Chris was having a bad day at baseball | He had struck out three times | He threw his water bottle on the ground after he struck out again | It broke and the water spilled all over the dirt | Chris regretted his bad behavior and wished he had more water","15423"
"Jan had an early meeting with clients | She didn't want to wake her husband so she dressed in the dark | Half way through the meeting she noticed her shoes didn't match | She sat down, putting her feet under the table | Fortunately no one else noticed","53214"
"Nina had just turned sixteen and wanted her license | She decided to go to driver's ed lessons after school | The lessons were hard, though, and Nina worried | She feared she would fail the road test after all | But in five weeks, Nina was granted a driver's license!","54321"
"There was a bug on the wall by the bed | Kate grabbed a shoe and went to kill it | She had to stand on the bed to reach the bug | Afterwards she turned and ran right into the ceiling fan | Luckily it was on low, and she wasn't hurt at all","35421"
"A class was having a philosophical discussion | The teacher had a glass of water | They wondered if the glass was half empty or half full | They didn't come to a consensus | They decided it could go both ways","23541"
"My dad is in the military so we have to move | We are moving to Montana and it's going to be lame | As soon as I got there I loved it | They have so many clubs at school | Everyone is so nice and I wish I had moved sooner","21435"
"Jared climbed a mountain for the first time with his wife | He was very impressed by the view he had when he reached the top | But what really awed him was the reverberation of the echo | He called his name over and over | And when he was done, he was jumped when his wife called his name","21345"
"My grandparents met during WWII when they were serving in the Navy | They met at a movie theater in Washington, DC | A sad film made my grandma cry, and my grandpa gave her a tissue | They fell in love and corresponded by letter while he was at sea | They were married two days after his ship returned to America","32154"
"Eric and Sheila were having a blast | It was summer break and they loved playing outside | Their favorite game was hide and seek | They were both very good at it | They spent almost every afternoon that summer playing","42531"
"Daphne refused to sleep with men without being married | Every time she had a new boyfriend, he'd dump her for that reason | She was thinking she'd never find love the way she wanted | But one day, she found a man with the same values | They married and only then did they share physical intimacy","14325"
"Charles and Greg were best friends in high school | When they graduated, Charles' father gave him advice | He said, seeing anyone from high school would be childish | So Charles stopped talking to Greg | Greg found Charles that summer and asked why they weren't friends?","15432"
"Horace sold something on eBay | He told the buyer he would ship the item | He took it to the post office | He paid for postage | They shipped it off","42351"
"I was playing poker | Everyone but my friend and I had folded | I had a royal flush | I decided to go all in | My friend decided to go all in and he lost","45321"
"Kim and Beth had tickets for a tour at NBC studios | They could see the studio from down the street | They were both really excited | When they arrived the girls took selfies out front | When they viewed their photo Matt Lauer was in the background","34512"
"Jeff was spying in the girl's locker room | He stood on top of the hill with his binocular glasses | Before he got a good glimpse, the coach noticed him | The coach suspended him for a week | In addition, he demanded Jeff to do 100-200 push ups","12345"
"Ruby loved to type fast | She typed faster than anyone at her work | People would come to her to type their documents | One day, Anita slammed her fingers in a door on accident | She broke her fingers and could never type again","51324"
"Lucy wanted to learn how to sew | Her grandmother didn't have enough time to teach her | Lucy offered to help with the chores | Her grandma suggested she clean the bathroom | Lucy had never cleaned a bathroom, but she was up for the challenge","43125"
"Dango Rhymes wanted to win a race | He'd stop at no cost to win it as well | He stole money from people, and sabotaged their groups | Unfortunately, Dango couldn't win by himself | Thus Dango did lose the race, and his friendships","34152"
"John had a test coming up in three days | So John was ready to study for his test | He needed to pass it in order pass the class | John studied for those three days | John took the test and passed it","45321"
"Tim turns his girlfriend's favorite blanket pink in the laundry | He replaces it and hopes that she won't notice | But she does notice that the new blanket is not hers | The old blanket has sentimental value to her | She forgives him when he digs it out of the trash","14523"
"Chris knew a secret about his friend | He knew that the friend was adopted,but the friend didn't know | Chris avoided his friend because he didn't want to slip up | One day, he had too much beer and he told his friend what he knew | Chris never forgave himself","34215"
"Jane failed her vision test at school | And she was embarrassed she would have to wear glasses | At the optician she put on her new glasses and saw things clearly | She was shocked and pleased by the difference the glasses made | She was so happy she didn't care if anyone made fun of her","35241"
"My cousin Natalia loves to write short stories | She is seven years old and quite imaginative | She wrote a short story called Alien | We are selling it as on AMAZON | Natalia's book has sold over a thousand copies","21543"
"Kelly was walking down the street | To her dismay she was shaken by a large mouse | The mouse was coming out of a trash can | Kelley was horrified | She immediately ran away","25431"
"Lou's big brother told him he would never find a girlfriend | Lou prefered playing video games to hanging out with people | One day Lou was in the video game store | A pretty girl asked him what he thought about one of the games | They made a date for him to teach her how to play it","34152"
"Mason was building his home with lumber from trees in his yard | He worked hard every day, with just his cousin for companion | After a couple months of labor, the house was finally finished | Mason lit a cigarette on the porch, and fell asleep | He woke up to the smell of smoke and flames of his home burning","15243"
"My niece had three boyfriends in one year of college | She started her sophomore year with her high school boyfriend | She broke up with him in October | She had another boyfriend until March | She finally landed her third boyfriend in May","52143"
"My school is a big football school and my friends and I are fans | When they had a game out of time, we all decided to go | It was freezing but we were hoping it'd be worth it | We froze the whole game and finally we lost | We thought twice in the future about going to out of town games","23451"
"The men were on the coast | They rented a boat | They cast their nets over the edge | They brought the nets back in | They had caught over 100 pounds of shrimp","12534"
"Jane wanted to have a water gun fight | She saved up all her money for a squirt gun | She went to the toy store and bought the best squirt gun they had | Jane then had a big water battle with her siblings | She won the battle!","31425"
"Boris loved video games | He played video games everyday for hours | His older brother bought him a new game for his birthday | Boris was elated when he received his gift | Boris and his brother played the game the rest of the weekend","14235"
"The walter family decided they were going to spend the day at the zoo | The young daughter was scared of animals | When they got to the zoo she had seen that they were caged in | This made her feel alot safer and was very excited about being there | The day was filled with laughs and fun","52314"
"While shopping at a grocery store, Claire withdrew money from the atm | When she returned to shopping, a young woman grabbed her cart | The woman demanded the money Claire had just withdrawn | Claire realized what aisle she was in and grabbed a pack of meat | After receiving a few hits, the would be robber took off","21354"
"Daniel hates cold weather but lives in Indiana | He decides to transfer his job to Florida | He talks to his boss and gets approval to move | He packs up all his belongings and sells his house | He moves to Florida and is never cold again!","24153"
"Kate had trouble staying calm | So one of her friends recommended aromatherapy | Kate laughed at the idea | But she gave in as nothing else worked | The smell of lavender in Kate's room improved her","41352"
"Jenny had always wanted to try making bagels | She shaped them into extra-big circles, forgetting they would rise | They bulged like fat pillows, only to flatten in the boiling water | Soon, they resembled nothing more than dry frisbees | Sighing, she decided the grocery stores knew what they were doing","32451"
"Beverly has a new baby | She is having trouble getting anything done | One day, she decided to try putting the baby in a carrier | The carrier worked | She was able to get lots done","21435"
"The local YMCA was having a breakfast with Santa | We loaded up the kids and made our way to the YMCA | We ate our fill of pancakes and sausage | The kids were thrilled to meet Santa and share their Christmas list | We left the YMCA and went home to make some Christmas cookies","12534"
"Anna knew she needed help with her debts and credit score | She had always wanted credit counseling | It was expensive, so she had never gotten it | But finally she made an appointment with a financial advisor | He helped her greatly and Anna was so happy she'd done it!","12453"
"The student council were having a hard time deciding on themes | They wanted their prom to be memorable but very fun | Some of the suggestions got voted down for being too cliche | Others got voted out for being too outlandish | They finally decided to have a Disco theme","43125"
"Jared was trying to quit smoking | He was doing well but he started chewing his fingernails | Jared bought a pack of cheap ballpoint pens | He started chewing on those instead of his fingernails | Jared eventually quit smoking and chewing on pen caps","13452"
"Mark and his family were on a vacation cruise | What Mark loved more than the sea was seafood | While his family relaxed, Mark hit the shrimp bar | Mark ate so much shrimp he felt sick | Mark was still happy even as his wife scolded him","34251"
"Ben was wandering around the neighborhood with a pickup truck | He saw two sets of furniture on the side of the road | He picked them up and threw it behind his truck | One of the residents volunteers to give him an old photo frame | He gladly took it and thanked the person","15342"
"Stephanie looked at her family's coats on the coat rack | It was overfull and very ugly looking | She went to the store and bought a new coat rack | She brought it home and set it up | She organized the coats and was very happy with how it looked","15234"
"Joe needed new basketball shoes | He could not afford the ones he wanted | He decided to pick up a job afternoon | He finally saved up enough | He was able to buy the shoes he wanted","21345"
"Larry was mowing his grass | It had gotten very tall because he hadn't mowed in weeks | He went across a large hole in the yard | Suddenly, hundreds of yellow jackets rose from the hole | Larry jumped off the mower and ran inside while getting stung","25431"
"John got up | He stood in the middle of his team | It was halftime and they were losing | John gave a great speech to motivate his team | They turned it around in the second half and won the game","35421"
"Sam was making french fries on the stove | His pot of oil lit on fire | Sam quickly tried to remember how to put out a grease fire | Then, he remembered to smother the flame | He covered it with another pot, and the fire went out","35214"
"In August Billy is going overseas for the war | He doesn't want to say goodbye to his wife, kids, and friends | He talks to his friend Tom about looking over his family | Billy feels better about leaving now | Now Bill only focuses on the war, and serving his country","54132"
"Pauline loves leggings | She wants to sell soft leggings for profit | With a little help, she started her business | She discovered that many people liked soft leggings | Her business is quite successful","25134"
"Tom was up for bat | When the pitcher threw the ball, he swung his bat hard | The whole field heard a loud crack as the bat connected | The ball sailed through the air, only to land in a neighbor's backyard | Baseball was over for the day unless they could get the ball back","23154"
"Freeman loved his family | They were very nice to him and never made him sad | One day, he had to go to another country | When he went on the airplane, he missed his family | After the trip, Freeman was very happy when he saw his family","45132"
"Jane had a 1000 word essay she needed to prepare for class | She took some time to think of a good topic | She did some research online for material to put in her essay | She wrote and rewrote the essay for hours | Jane ended up with a great 1000 word essay on plant reproduction","15324"
"Sammy loved eating fruit | He thought grapes were the best | He took a bunch in his lunch every day | The grapes were cold and sour | Sammy could eat them all day!","54123"
"Sandy was eating a bag of chips | When she had to go to the bathroom, she left the bag on the table | Several classmates noticed the bag and started to eat it | They also left the bag on the table without throwing it away | Sandy noticed that her chips were gone and became mad","15342"
"Sometimes the weather got bad at our water park | You could see the lightning strike on the river | The sand would blow around | The pools will close | One time everyone hid in the bathrooms","13245"
"Frank was having another baby | He knew he had to let go another one of his toys | Frank loved his old Classic Mustang | Frank finally placed it for sell and waited | Frank found a buyer and sold one of his prized possessions","15243"
"Tina wanted to watch a movie on the DVD player | Her brother Cam wanted to watch a baseball game | They fought roughly for control of the TV remote | Their grappling caused them to accidentally knock over the television | Neither of them got what they wanted, since that TV was now broken","15432"
"Mani and Mina wanted to get coffee | Mina was having a rough time finding something to wear | Mani thought she looked great in everything she tried on | After a while, Mina listened to Mani | She got dressed to leave with Mani","54321"
"It was the day of the super bowl | Jim invited his friends to come over | Jim prepared lots of food | Jim and his friends watched the super bowl | They enjoyed each other's company that night","14532"
"Kirby and Melissa met in their college's school spirit group | They were good friends for a few months | They started to develop feelings for each other | They started to date | They were married three years later","41532"
"Adler tried to place a fire ant in his brother's bed | He got bit by the ant several times | In addition, he caught an infection | Adler's dad was angry from what happened | He decided to send Adler to summer camp","25431"
"Alice didn't want to see an action movie at the theater | So when her friends went to see one that night, she had a plan | They all went inside while she went to pee | And she bought a ticket for a romantic comedy instead | When she met them afterwards, they were none the wiser","45123"
"Little Kelly loved Swiss cheese so much | She ate it every afternoon as her snack | She ate it, and it alone, for hundreds of days in a row as her snack | One day, she was shocked to suddenly find it foul and nauseating | It was twenty years before she could eat Swiss cheese again","23541"
"Kim went to a thrift store to buy vinyl albums | She walked to the back to find the music section | She sat on the floor as she sorted through the boxes | Kim saw some she wanted and put them aside | Kim took her selection to the register and paid","25431"
"John and Kathy went to the park to have a picnic | They were enjoying nice weather and food | While they were sitting in the grass, Kathy found a ring | She found out it was golden ring | The jeweler told them it is worth ten thousand dollars","23145"
"My nephew lived across the street from Fresh Pond | When he was 8, he got a fishing pole | We went to the pond to catch some fish | We did not have bait and used gummy worms | We did not catch any fish","13524"
"Jared's mom brought him a book of recreation options | He looked through the book | Some of the activities seemed interesting | He picked the one he wanted | Then, he told his mom and she signed him up","24135"
"Cal tried to use Freedompop for his mobile phone | He bought a phone from them but it didn't work | Cal realized the whole company was a big scam | After 3 calls over two months they agreed to refund his money | Cal politely asked for a confirmation email to prove it","23145"
"Ted was confident his Zika risk was low | He knew that Zika was transmitted by mosquitoes | He lived in Phoenix and had not been bitten by a mosquito in 23 years | However, he fell sick on the day of the concert | He still went to perform and gave a great performance against all odds","24135"
"Isabella was happy when she had a day off in the middle of the week | She decided to finally start her spring cleaning | She started with her closest first, taking out clothes she didn't wear | Isabella also cleaned her basement of all its clutter | She loaded her car and drove everything to the local Goodwill store","35241"
"Kim had a miscarriage | She was devastated | After a few months she felt a little better | Soon she conceived a beautiful new baby | Kim loved her rainbow baby with all her heart!","42153"
"I woke up late and was short on time | I rushed around trying to get ready as quickly as possible | I finally left the house only to get stuck in traffic | I arrived 20 minutes late to my office | My boss gave me a warning not to let it happen again","35241"
"Bill was at a stop light | The light was on red | Billy began to look around while waiting | He suddenly heard a horn behind him | The light had turned green","23451"
"Jack went to buy a fur coat | He told the store clerk that he wanted a black coat with fur trim | The store owner told him that fur is murder, and said get out | Jack went to a different store | The other store found him a coat made of fur and he was happy","13452"
"Ann wanted an easy lunch | So she opened up a box of mac and cheese | But when she opened it she noticed something | She saw a small black bug inside of it | Ann screamed and threw the box away immediately","23415"
"Tom got a lot of candy on Halloween | He had two bags full | The day after Tom ate as much candy as he could | He got incredibly sick that night | From then on Tom didn't stuff himself as much","41352"
"Todd was eating at a friend's house | He had a seafood allergy | His friend didn't know about the allergy | The soup had seafood in it | Todd got a mild allergic reaction","25134"
"The man had itchy feet | He asked the doctor for help | The doctor gave him some cream | His crotch started to itch as well | The doctor told him to use the same cream","51234"
"Jeremy was going on his first fishing trip | Jeremy's dad took him out on the lake in a little rowboat | With his hook baited, Jeremy put his line in the water | It wasn't long before Jeremy got a bite | He was so excited to catch the biggest fish he had ever seen","54321"
"Kim had just got a new little boy in her class | After his first day, he asked if he could walk home with her | It turned out he'd just moved into the house next door | Kim agreed to walk home with him every day | The new neighbor boy soon became her very best friend!","43152"
"Nia wanted to make a change in her appearance | She asked for some advice on ideas from her friends | One of her friends suggested a new hair stylist in town | Nia went to the hair stylist and he cut her hair | Nia is extremely happy with her new hair cut","23451"
"I had a final exam | I decided to not go | My grade was high enough that I could skip the exam | Alas, I didn't read the syllabus correct | I failed the class because the final was worth more than I thought","13245"
"She had a craving for mexican food | She went to the store to buy something | She looked at all the options | Nothing looked good to her | She chose a box of frozen taquitos to take home","53214"
"One night, I woke up and couldn't get back to sleep | I tried to sleep for thirty minutes before I got up | I sat down on my couch and turned on the tv | I found a horror movie and watched it for a while | Finally, I fell asleep on the couch","34251"
"The family was planning a vacation to Florida | They began by finding a place to stay that was affordable | They then contacted the airline company to get a flight | Once they had flights and a place to stay, they rented a car | Now they just had to wait until it was time to leave","54132"
"Keith and his buddies bought tickets to the horse races | They dressed up and drove to the venue | They placed bets on their horses | They watched the races | Their horses won","43215"
"There was a dog stuck at home while his owners worked | She really, really, really had to go pee | But the doors were all closed | So she peed in the corner of the living room | Her owners yelled at her when they got home","42513"
"Mary was on her way home | When she arrived at the front of the house, she noticed a strange car | She came inside and heard some noise in her room | It turned out to be her husband with another lady | Her husband panicked and immediately apologized","53142"
"In 2009 my wife wanted to see the Christmas lights on Boston Common | We had not gone in years | I worked close by | I met her and walked to the Common | The lights put her into a festive mood","21453"
"Jenny was holding the bat | She told Jeff to throw the ball as fast as he can | Therefore, Jeff tried to make a fast pitch | However, Jenny missed the throw and ended up hitting Max | He fell unconscious","35142"
"Gina was watching music videos | The cool new girl group had a new video for their new song | In the video they were wearing hats turned backwards | Gina realized she could afford to buy a hat | Gina couldn't afford new clothes, but she would buy a hat like theirs","31245"
"Lisa woke up one day with a pain in her neck | When she told her best friend, Terry suggested she get acupuncture | Lisa had never had acupuncture and was nervous, but decided to go | She had a very relaxing and comfortable experience | Lisa's pain went away, and she was grateful for Terry's advice","23415"
"Lisa found a baby bird on the ground | She looked for its nest in the nearby trees | When she found it, she moved a step ladder underneath | Lisa carefully put the baby bird back in its nest | She was very pleased with herself for the good deed","53412"
"Nat and James were barbecuing in their backyard | They were both in their pajamas | What they didn't know was that the material was flammable | They were both at the grill cooking their food | All of a sudden their pajamas caught on fire!","25314"
"Kay had a brand new flip phone with an antenna | She was excited to use her phone and called a friend | She waited for the phone to ring but nothing happened | She looked at her phone to see there was no signal | Kay was upset and thanked goodness this wasn't an emergency","32451"
"Francisco wasn't feeling very well, even though he had work | He called in sick | He couldn't sleep, so he tried watching television | When he found there wasn't anything on, he decided on an online game | He was playing when his boss logged on from work","14235"
"I was tasked to watch my toddler son while my wife was out on errands | My son began wailing as soon as my wife left the house | I tried to give him some milk and he threw it | He would not stop crying no matter what I did | When my wife got home he immediately stopped crying","21534"
